,Review,Sentimen,Review_norm,review_tokens,review_tokens_SR,review_tokens_stemmed
0,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari nggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar ikutin prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,Negatif,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,"['kecewa', 'banget', 'saya', 'pesan', 'yang', 'free', 'pouch', 'tapi', 'dikirimnya', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'di', 'videokan', 'segera', 'kabarin', 'customer', 'servicenya', 'dan', 'disuruh', 'isi', 'googleform', 'untuk', 'dikirimkan', 'ulang', 'pouchnya', 'setelah', 'hari', 'enggak', 'ada', 'kabar', 'akhirnya', 'saya', 'tanya', 'lagi', 'dan', 'hanya', 'dikabari', 'kalau', 'stock', 'pouch', 'ternyata', 'sudah', 'habis', 'padahal', 'baik', 'baik', 'dan', 'sabar', 'mengikuti', 'prosedur', 'dari', 'customer', 'service', 'karena', 'masih', 'berpikiran', 'positif', 'ternyata', 'begini', 'caranya', 'ya']","['kecewa', 'banget', 'pesan', 'free', 'pouch', 'dikirimnya', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'videokan', 'segera', 'kabarin', 'customer', 'servicenya', 'disuruh', 'isi', 'googleform', 'dikirimkan', 'ulang', 'pouchnya', 'hari', 'enggak', 'kabar', 'akhirnya', 'tanya', 'dikabari', 'kalau', 'stock', 'pouch', 'ternyata', 'habis', 'padahal', 'baik', 'baik', 'sabar', 'mengikuti', 'prosedur', 'customer', 'service', 'berpikiran', 'positif', 'ternyata', 'begini', 'caranya']","['kecewa', 'banget', 'pesan', 'free', 'pouch', 'kirim', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'video', 'segera', 'kabarin', 'customer', 'servicenya', 'suruh', 'isi', 'googleform', 'kirim', 'ulang', 'pouchnya', 'hari', 'enggak', 'kabar', 'akhir', 'tanya', 'kabar', 'kalau', 'stock', 'pouch', 'nyata', 'habis', 'padahal', 'baik', 'baik', 'sabar', 'ikut', 'prosedur', 'customer', 'service', 'pikir', 'positif', 'nyata', 'begini', 'cara']"
1,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin saya kira dus basah karna hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,Negatif,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,"['kali', 'ini', 'pengemasan', 'tidak', 'safe', 'sepertinya', 'tutup', 'botol', 'tidak', 'kencang', 'sehingga', 'toner', 'merembes', 'keluar', 'sampai', 'dus', 'basah', 'saya', 'memang', 'tidak', 'membuat', 'video', 'unboxing', 'karena', 'saya', 'selalu', 'mendapat', 'produk', 'dan', 'packaging', 'yang', 'bagus', 'dari', 'avoskin', 'saya', 'kira', 'dus', 'basah', 'karena', 'hujan', 'pas', 'dibuka', 'ternyata', 'botol', 'sudah', 'kosong', 'semoga', 'mendapat', 'tanggapan', 'dari', 'avoskin']","['kali', 'pengemasan', 'tidak', 'safe', 'sepertinya', 'tutup', 'botol', 'tidak', 'kencang', 'toner', 'merembes', 'keluar', 'dus', 'basah', 'memang', 'tidak', 'membuat', 'video', 'unboxing', 'selalu', 'mendapat', 'produk', 'packaging', 'bagus', 'avoskin', 'kira', 'dus', 'basah', 'hujan', 'pas', 'dibuka', 'ternyata', 'botol', 'kosong', 'semoga', 'mendapat', 'tanggapan', 'avoskin']","['kali', 'emas', 'tidak', 'safe', 'seperti', 'tutup', 'botol', 'tidak', 'kencang', 'toner', 'rembes', 'keluar', 'dus', 'basah', 'memang', 'tidak', 'buat', 'video', 'unboxing', 'selalu', 'dapat', 'produk', 'packaging', 'bagus', 'avoskin', 'kira', 'dus', 'basah', 'hujan', 'pas', 'buka', 'nyata', 'botol', 'kosong', 'moga', 'dapat', 'tanggap', 'avoskin']"
2,paket datangnya barang sudah pecah dan sy return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai sy terima barang dan uangnya dilepas ke seller sy kecewa sekali dan jd agak trauma untuk beli barang ksini chat seller untuk nanyain brg ud diterima tp dijawab formalitas saja baru kali ini sy belanja brg tidak diterima tp uang tidak kembali mungkin uangnya ga seberapa cuman krn responsnya yg mengecewakan mohon improvement untuk selanjutnya thx,Negatif,paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks,"['paket', 'datangnya', 'barang', 'sudah', 'pecah', 'dan', 'saya', 'return', 'ke', 'seller', 'sudah', 'ikuti', 'komplain', 'proses', 'dan', 'lain', 'sebagainya', 'tapi', 'malah', 'akhirnya', 'tiba', 'seakan', 'akan', 'pesanan', 'selesai', 'saya', 'terima', 'barang', 'dan', 'uangnya', 'dilepas', 'ke', 'seller', 'saya', 'kecewa', 'sekali', 'dan', 'jadi', 'agak', 'trauma', 'untuk', 'beli', 'barang', 'kesini', 'chat', 'seller', 'untuk', 'nanyain', 'barang', 'sudah', 'diterima', 'tapi', 'dijawab', 'formalitas', 'saja', 'baru', 'kali', 'ini', 'saya', 'belanja', 'barang', 'tidak', 'diterima', 'tapi', 'uang', 'tidak', 'kembali', 'mungkin', 'uangnya', 'enggak', 'seberapa', 'cuman', 'karena', 'responsnya', 'yang', 'mengecewakan', 'mohon', 'improvement', 'untuk', 'selanjutnya', 'thanks']","['paket', 'datangnya', 'barang', 'pecah', 'return', 'seller', 'ikuti', 'komplain', 'proses', 'sebagainya', 'malah', 'akhirnya', 'tiba', 'seakan', 'pesanan', 'selesai', 'terima', 'barang', 'uangnya', 'dilepas', 'seller', 'kecewa', 'sekali', 'jadi', 'trauma', 'beli', 'barang', 'kesini', 'chat', 'seller', 'nanyain', 'barang', 'diterima', 'dijawab', 'formalitas', 'baru', 'kali', 'belanja', 'barang', 'tidak', 'diterima', 'uang', 'tidak', 'mungkin', 'uangnya', 'enggak', 'seberapa', 'cuman', 'responsnya', 'mengecewakan', 'mohon', 'improvement', 'selanjutnya', 'thanks']","['paket', 'datang', 'barang', 'pecah', 'return', 'seller', 'ikut', 'komplain', 'proses', 'bagai', 'malah', 'akhir', 'tiba', 'akan', 'pesan', 'selesai', 'terima', 'barang', 'uang', 'lepas', 'seller', 'kecewa', 'sekali', 'jadi', 'trauma', 'beli', 'barang', 'kesini', 'chat', 'seller', 'nanyain', 'barang', 'terima', 'jawab', 'formalitas', 'baru', 'kali', 'belanja', 'barang', 'tidak', 'terima', 'uang', 'tidak', 'mungkin', 'uang', 'enggak', 'berapa', 'cuman', 'respons', 'kecewa', 'mohon', 'improvement', 'lanjut', 'thanks']"
3,ga ada sabun nya ga sesuai deskripsi,Negatif,enggak ada sabun nya enggak sesuai deskripsi,"['enggak', 'ada', 'sabun', 'nya', 'enggak', 'sesuai', 'deskripsi']","['enggak', 'sabun', 'nya', 'enggak', 'sesuai', 'deskripsi']","['enggak', 'sabun', 'nya', 'enggak', 'sesuai', 'deskripsi']"
4,ga sesuai harapan,Negatif,enggak sesuai harapan,"['enggak', 'sesuai', 'harapan']","['enggak', 'sesuai', 'harapan']","['enggak', 'sesuai', 'harap']"
5,bagus bgt buat kulit oily menghikangkan bruntusan dan mengecilkan pori,Positif,bagus banget buat kulit oily menghilangkan bruntusan dan mengecilkan pori,"['bagus', 'banget', 'buat', 'kulit', 'oily', 'menghilangkan', 'bruntusan', 'dan', 'mengecilkan', 'pori']","['bagus', 'banget', 'buat', 'kulit', 'oily', 'menghilangkan', 'bruntusan', 'mengecilkan', 'pori']","['bagus', 'banget', 'buat', 'kulit', 'oily', 'hilang', 'bruntusan', 'kecil', 'pori']"
6,gak perlu diragukan lagi sih ini produk worth to buy pengiriman cepat packagingnya yg super aman thx seller,Positif,enggak perlu diragukan lagi sih ini produk worth tapi buy pengiriman cepat packagingnya yang super aman thanks seller,"['enggak', 'perlu', 'diragukan', 'lagi', 'sih', 'ini', 'produk', 'worth', 'tapi', 'buy', 'pengiriman', 'cepat', 'packagingnya', 'yang', 'super', 'aman', 'thanks', 'seller']","['enggak', 'perlu', 'diragukan', 'sih', 'produk', 'worth', 'buy', 'pengiriman', 'cepat', 'packagingnya', 'super', 'aman', 'thanks', 'seller']","['enggak', 'perlu', 'ragu', 'sih', 'produk', 'worth', 'buy', 'kirim', 'cepat', 'packagingnya', 'super', 'aman', 'thanks', 'seller']"
7,barang diterima dg baik dan expired la,Positif,barang diterima dengan baik dan expired lah,"['barang', 'diterima', 'dengan', 'baik', 'dan', 'expired', 'lah']","['barang', 'diterima', 'baik', 'expired', 'lah']","['barang', 'terima', 'baik', 'expired', 'lah']"
8,bru nyoba,Netral,baru mencoba,"['baru', 'mencoba']","['baru', 'mencoba']","['baru', 'coba']"
9,mudah mudahan cocok karena reviewnya bagus,Netral,mudah mudahan cocok karena reviewnya bagus,"['mudah', 'mudahan', 'cocok', 'karena', 'reviewnya', 'bagus']","['mudah', 'mudahan', 'cocok', 'reviewnya', 'bagus']","['mudah', 'mudah', 'cocok', 'reviewnya', 'bagus']"
