review_tokens,Sentimen
kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,Negatif
kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,Negatif
paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks,Negatif
enggak ada sabun nya enggak sesuai deskripsi,Negatif
enggak sesuai harapan,Negatif
bagus banget buat kulit oily menghilangkan bruntusan dan mengecilkan pori,Positif
enggak perlu diragukan lagi sih ini produk worth tapi buy pengiriman cepat packagingnya yang super aman thanks seller,Positif
barang diterima dengan baik dan expired lah,Positif
baru mencoba,Netral
mudah mudahan cocok karena reviewnya bagus,Netral
mantap,Positif
bismillah semoga cocok,Positif
kecewa banget pokoknya,Negatif
kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,Negatif
ok semoga cocok,Positif
ok belum dicoba,Netral
sudah langganan karena cocok pakai serum ini thanks seller,Positif
serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya,Netral
mantap pakai banget tapi perjalanan pengiriman lama banget,Netral
belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya,Netral
cocok banget buat oily skin kayak aku,Positif
baru sekali pakai sudah kerasa halus dimuka,Positif
barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa,Netral
beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif
harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian,Negatif
melembabkan banget teksturnya kental tapi cepat banget nyerepnya,Netral
packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi,Negatif
tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif
dijanjikan expired tahu tapi dapetnya bulan,Negatif
pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing,Negatif
bahan ringan semoga cocok,Positif
tipe kulitku berminyak,Netral
ringan banget dibibir lup lup dah buat azarine,Netral
no review found,Netral
kali ini paket white series yang datang cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya,Negatif
tidak sampai barang nya,Negatif
bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap saja deh,Negatif
serumnya enggak dikirim,Negatif
baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,Positif
love banget terima kasih azarine tadinya beli karena dapat pc tapi ternyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku,Positif
pertama kali coba belum tau sih,Netral
realpict sukses selalu seller,Positif
semua ok cuma kaya nya kulitku yang enggak cocok sama sunscreennya merasa lengket banget makenya so sorry,Netral
baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,Positif
saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum,Negatif
pelayanan admin nya jelek,Negatif
agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,Negatif
barang yang dikirim cuman harusnya karena saya beli twin pack,Negatif
saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan,Negatif
sesuai deskripsi,Positif
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral
agak kecewa sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif
tipe kulitku kering,Netral
ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,Negatif
beli tanggal mei chat admin katanya tanggal bisa dikirim tapi sampai sudah mau batal otomatis baru dikirim sampai di rumah tanggal malam padahal mau dibawa ke luar kota tanggal mei karena melihat status enggak dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tapi pelayanan buruk dan pengiriman lama barang yang dikirim sesuai hanya tidak ada box atau bubble wrap kalo yang butuh cepat tolong pertimbangkan untuk beli di official store,Negatif
sudahlah prosesnya lama banget yang dikirim enggak lengkap juga bilang dong kalo brgnya kosong enggak bisa kasih review karena saya enggak terima barang ini,Negatif
saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tidak direspond dengan cepat tidak ada isi yang tumpah cuma berharap kotak kemasan dari azarine bisa lebih baik lagi saya bisa kirim video unboxing,Negatif
tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan,Negatif
pelayanannya jelek banget,Negatif
exp panjang thanks,Negatif
dapat tekstur sudah keras dan menggumpal,Negatif
diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya,Negatif
teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi,Negatif
botol semprotnya suka ngawur arahnya,Netral
produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya,Netral
sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan,Positif
tekstur ringan pengiriman cepat,Positif
respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok,Positif
sudah langganan selalu beli disini,Positif
tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya,Positif
face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif,Positif
material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya,Positif
bagus pasti ro,Positif
bagus bagus cocok,Positif
dapat bonus,Positif
dikasih free gift juga keren,Positif
sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang,Positif
maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif
warna nya kuning entah karena apa,Netral
habis pakai ini besokannya langsung muncul banyak jerawat kecil,Negatif
isinya berantakan,Negatif
bikin aku jerawatan,Negatif
