,Review,Sentimen,Review_norm,review_tokens
0,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari nggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar ikutin prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,Negatif,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,"['kecewa', 'banget', 'saya', 'pesan', 'yang', 'free', 'pouch', 'tapi', 'dikirimnya', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'di', 'videokan', 'segera', 'kabarin', 'customer', 'servicenya', 'dan', 'disuruh', 'isi', 'googleform', 'untuk', 'dikirimkan', 'ulang', 'pouchnya', 'setelah', 'hari', 'enggak', 'ada', 'kabar', 'akhirnya', 'saya', 'tanya', 'lagi', 'dan', 'hanya', 'dikabari', 'kalau', 'stock', 'pouch', 'ternyata', 'sudah', 'habis', 'padahal', 'baik', 'baik', 'dan', 'sabar', 'mengikuti', 'prosedur', 'dari', 'customer', 'service', 'karena', 'masih', 'berpikiran', 'positif', 'ternyata', 'begini', 'caranya', 'ya']"
1,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin saya kira dus basah karna hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,Negatif,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,"['kali', 'ini', 'pengemasan', 'tidak', 'safe', 'sepertinya', 'tutup', 'botol', 'tidak', 'kencang', 'sehingga', 'toner', 'merembes', 'keluar', 'sampai', 'dus', 'basah', 'saya', 'memang', 'tidak', 'membuat', 'video', 'unboxing', 'karena', 'saya', 'selalu', 'mendapat', 'produk', 'dan', 'packaging', 'yang', 'bagus', 'dari', 'avoskin', 'saya', 'kira', 'dus', 'basah', 'karena', 'hujan', 'pas', 'dibuka', 'ternyata', 'botol', 'sudah', 'kosong', 'semoga', 'mendapat', 'tanggapan', 'dari', 'avoskin']"
2,paket datangnya barang sudah pecah dan sy return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai sy terima barang dan uangnya dilepas ke seller sy kecewa sekali dan jd agak trauma untuk beli barang ksini chat seller untuk nanyain brg ud diterima tp dijawab formalitas saja baru kali ini sy belanja brg tidak diterima tp uang tidak kembali mungkin uangnya ga seberapa cuman krn responsnya yg mengecewakan mohon improvement untuk selanjutnya thx,Negatif,paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks,"['paket', 'datangnya', 'barang', 'sudah', 'pecah', 'dan', 'saya', 'return', 'ke', 'seller', 'sudah', 'ikuti', 'komplain', 'proses', 'dan', 'lain', 'sebagainya', 'tapi', 'malah', 'akhirnya', 'tiba', 'seakan', 'akan', 'pesanan', 'selesai', 'saya', 'terima', 'barang', 'dan', 'uangnya', 'dilepas', 'ke', 'seller', 'saya', 'kecewa', 'sekali', 'dan', 'jadi', 'agak', 'trauma', 'untuk', 'beli', 'barang', 'kesini', 'chat', 'seller', 'untuk', 'nanyain', 'barang', 'sudah', 'diterima', 'tapi', 'dijawab', 'formalitas', 'saja', 'baru', 'kali', 'ini', 'saya', 'belanja', 'barang', 'tidak', 'diterima', 'tapi', 'uang', 'tidak', 'kembali', 'mungkin', 'uangnya', 'enggak', 'seberapa', 'cuman', 'karena', 'responsnya', 'yang', 'mengecewakan', 'mohon', 'improvement', 'untuk', 'selanjutnya', 'thanks']"
3,ga ada sabun nya ga sesuai deskripsi,Negatif,enggak ada sabun nya enggak sesuai deskripsi,"['enggak', 'ada', 'sabun', 'nya', 'enggak', 'sesuai', 'deskripsi']"
4,ga sesuai harapan,Negatif,enggak sesuai harapan,"['enggak', 'sesuai', 'harapan']"
5,bagus bgt buat kulit oily menghikangkan bruntusan dan mengecilkan pori,Positif,bagus banget buat kulit oily menghilangkan bruntusan dan mengecilkan pori,"['bagus', 'banget', 'buat', 'kulit', 'oily', 'menghilangkan', 'bruntusan', 'dan', 'mengecilkan', 'pori']"
6,gak perlu diragukan lagi sih ini produk worth to buy pengiriman cepat packagingnya yg super aman thx seller,Positif,enggak perlu diragukan lagi sih ini produk worth tapi buy pengiriman cepat packagingnya yang super aman thanks seller,"['enggak', 'perlu', 'diragukan', 'lagi', 'sih', 'ini', 'produk', 'worth', 'tapi', 'buy', 'pengiriman', 'cepat', 'packagingnya', 'yang', 'super', 'aman', 'thanks', 'seller']"
7,barang diterima dg baik dan expired la,Positif,barang diterima dengan baik dan expired lah,"['barang', 'diterima', 'dengan', 'baik', 'dan', 'expired', 'lah']"
8,bru nyoba,Netral,baru mencoba,"['baru', 'mencoba']"
9,mudah mudahan cocok karena reviewnya bagus,Netral,mudah mudahan cocok karena reviewnya bagus,"['mudah', 'mudahan', 'cocok', 'karena', 'reviewnya', 'bagus']"
10,mantap,Positif,mantap,['mantap']
11,bismillah smga cocok,Positif,bismillah semoga cocok,"['bismillah', 'semoga', 'cocok']"
12,kecewa banget pokoknya,Negatif,kecewa banget pokoknya,"['kecewa', 'banget', 'pokoknya']"
13,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti,Negatif,kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,"['kecewa', 'pengiriman', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'harus', 'bagaimana', 'lagi', 'enggak', 'mengerti']"
14,ok smoga cocok,Positif,ok semoga cocok,"['ok', 'semoga', 'cocok']"
15,ok blom dcobain,Netral,ok belum dicoba,"['ok', 'belum', 'dicoba']"
16,udah langganan karna cocok pakai serum ini thanks seller,Positif,sudah langganan karena cocok pakai serum ini thanks seller,"['sudah', 'langganan', 'karena', 'cocok', 'pakai', 'serum', 'ini', 'thanks', 'seller']"
17,serumnya bener bener cair banget ini pemakaian selama hari tapi belum berasa bangt efeknya,Netral,serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya,"['serumnya', 'benar', 'benar', 'cair', 'banget', 'ini', 'pemakaian', 'selama', 'hari', 'tapi', 'belum', 'berasa', 'banget', 'efeknya']"
18,mantab pake banget tp perjalanan pengiriman lam bgt,Netral,mantap pakai banget tapi perjalanan pengiriman lama banget,"['mantap', 'pakai', 'banget', 'tapi', 'perjalanan', 'pengiriman', 'lama', 'banget']"
19,belum dicoba ngabisin dlu yg laen next bakal review klo ada hasilnya,Netral,belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya,"['belum', 'dicoba', 'ngabisin', 'dulu', 'yang', 'lain', 'next', 'bakal', 'review', 'kalo', 'ada', 'hasilnya']"
20,cocok bngt buat oily skin kyk aku,Positif,cocok banget buat oily skin kayak aku,"['cocok', 'banget', 'buat', 'oily', 'skin', 'kayak', 'aku']"
21,baru sekali pake udh kerasa halus dimuka,Positif,baru sekali pakai sudah kerasa halus dimuka,"['baru', 'sekali', 'pakai', 'sudah', 'kerasa', 'halus', 'dimuka']"
22,barangnya gapernah sampe dari tanggal karna ilang kesalahan anteraja jadi gatau harus review apa,Netral,barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa,"['barangnya', 'enggak', 'pernah', 'sampai', 'dari', 'tanggal', 'karena', 'hilang', 'kesalahan', 'anteraja', 'jadi', 'enggak', 'tau', 'harus', 'review', 'apa']"
23,beli ini beserta skin care yg lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif,beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,"['beli', 'ini', 'beserta', 'skin', 'care', 'yang', 'lain', 'nya', 'tapitidak', 'pernah', 'menerima', 'sheet', 'mask', 'ini', 'complaint', 'lama', 'banget', 'dan', 'ujung', 'ujung', 'nya', 'tidak', 'bisa', 'ditindak', 'lanjuti', 'kecewa', 'banget']"
24,harusnya dpt free sesuai jam ordernya udah buru cekout biar ga habis pesenan  yg dtg cuma produk nya free nya ga dapat asli kecewa dan baru ngalamin yg ginian,Negatif,harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan  yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian,"['harusnya', 'dapat', 'free', 'sesuai', 'jam', 'ordernya', 'sudah', 'buru', 'cekout', 'biar', 'enggak', 'habis', 'pesanan', 'yang', 'datang', 'cuma', 'produk', 'nya', 'free', 'nya', 'enggak', 'dapat', 'asli', 'kecewa', 'dan', 'baru', 'ngalamin', 'yang', 'beginian']"
25,melembabkan banget teksturnya kental tp cepet banget nyerepnya,Netral,melembabkan banget teksturnya kental tapi cepat banget nyerepnya,"['melembabkan', 'banget', 'teksturnya', 'kental', 'tapi', 'cepat', 'banget', 'nyerepnya']"
26,packaging nya jelek banget ini sih kyk nya ad oknum yg mau ngambil barangnya kardusnya di buka di bagian samping yg ga di segel tolong next nya packing lbh baik lagi,Negatif,packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi,"['packaging', 'nya', 'jelek', 'banget', 'ini', 'sih', 'kayak', 'nya', 'ada', 'oknum', 'yang', 'mau', 'ngambil', 'barangnya', 'kardusnya', 'di', 'buka', 'di', 'bagian', 'samping', 'yang', 'enggak', 'di', 'segel', 'tolong', 'next', 'nya', 'packing', 'lebih', 'baik', 'lagi']"
27,tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif,tertipu tidak ada gratis hadiah sarung seperti di gambar,"['tertipu', 'tidak', 'ada', 'gratis', 'hadiah', 'sarung', 'seperti', 'di', 'gambar']"
