review_tokens_stemmed,Sentimen
kecewa banget saya pesan yang free pouch tapi kirim cotton pad kaget pas unboxing untung di video segera kabarin customer servicenya dan suruh isi googleform untuk kirim ulang pouchnya telah hari enggak ada kabar akhir saya tanya lagi dan hanya kabar kalau stock pouch nyata sudah habis padahal baik baik dan sabar ikut prosedur dari customer service karena masih pikir positif nyata begini cara ya,Negatif
kali ini emas tidak safe seperti tutup botol tidak kencang sehingga toner rembes keluar sampai dus basah saya memang tidak buat video unboxing karena saya selalu dapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas buka nyata botol sudah kosong moga dapat tanggap dari avoskin,Negatif
paket datang barang sudah pecah dan saya return ke seller sudah ikut komplain proses dan lain bagai tapi malah akhir tiba akan akan pesan selesai saya terima barang dan uang lepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah terima tapi jawab formalitas saja baru kali ini saya belanja barang tidak terima tapi uang tidak kembali mungkin uang enggak berapa cuman karena respons yang kecewa mohon improvement untuk lanjut thanks,Negatif
enggak ada sabun nya enggak sesuai deskripsi,Negatif
enggak sesuai harap,Negatif
bagus banget buat kulit oily hilang bruntusan dan kecil pori,Positif
enggak perlu ragu lagi sih ini produk worth tapi buy kirim cepat packagingnya yang super aman thanks seller,Positif
barang terima dengan baik dan expired lah,Positif
baru coba,Netral
mudah mudah cocok karena reviewnya bagus,Netral
mantap,Positif
bismillah moga cocok,Positif
kecewa banget pokok,Negatif
kecewa kirim lama wajah jadi breakout enggak tau harus bagaimana lagi enggak erti,Negatif
ok moga cocok,Positif
ok belum coba,Netral
sudah langgan karena cocok pakai serum ini thanks seller,Positif
serum benar benar cair banget ini pakai lama hari tapi belum asa banget efek,Netral
mantap pakai banget tapi jalan kirim lama banget,Netral
belum coba ngabisin dulu yang lain next bakal review kalo ada hasil,Netral
cocok banget buat oily skin kayak aku,Positif
baru sekali pakai sudah rasa halus muka,Positif
barang enggak pernah sampai dari tanggal karena hilang salah anteraja jadi enggak tau harus review apa,Netral
beli ini serta skin care yang lain nya tapitidak pernah terima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa tindak lanjut kecewa banget,Negatif
harus dapat free sesuai jam order sudah buru cekout biar enggak habis pesan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang begini,Negatif
melembabkan banget tekstur kental tapi cepat banget nyerepnya,Netral
packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barang kardus di buka di bagi samping yang enggak di segel tolong next nya packing lebih baik lagi,Negatif
tipu tidak ada gratis hadiah sarung seperti di gambar,Negatif
janji expired tahu tapi dapetnya bulan,Negatif
pesan masker yang kirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benar kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan sini sibuk apa sempetin video unboxing,Negatif
bahan ringan moga cocok,Positif
tipe kulit minyak,Netral
ringan banget bibir lup lup dah buat azarine,Netral
no review found,Netral
kali ini paket white series yang datang cuman harus sudah komplain tapi enggak direspon sama sekali pantas dalam paket ada kertas cara aju komplain nyata memang enggak beres isi,Negatif
tidak sampai barang nya,Negatif
bikin bruntusan yang geleuh muka jadi lihat dan rasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhir buat tangan dan area tubuh yang gelap saja deh,Negatif
serum enggak kirim,Negatif
baru pertama coba dan sudah pakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,Positif
love banget terima kasih azarine tadi beli karena dapat pc tapi nyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku,Positif
pertama kali coba belum tau sih,Netral
realpict sukses selalu seller,Positif
semua ok cuma kaya nya kulit yang enggak cocok sama sunscreennya rasa lengket banget makenya so sorry,Netral
baru pertama coba moga cocok emas cepat dan aman kirim cepat,Positif
saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat laku video unboxing jadi tadi bisa klaim mohon untuk telah lebih hati dan perhati produk yang akan kirim apa sudah sesuai dengan pesan atau belum,Negatif
layan admin nya jelek,Negatif
agak kesel ya aku sudah tunggu barang dan yang datang salah dong produk mana di bungkus sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau misal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi hilang percaya sama ini toko mana lama juga mana ini foto enggak bisa lampir pula ada tulis ada ganggu di rumah toped enggak tau deh serah di cek saja di data gudang harus data beli dan produk yang ada di gudang jumlah beda,Negatif
barang yang kirim cuman harus karena saya beli twin pack,Negatif
saya sudah pakai hari di wajah saya jadi minyak merah dan jadi beruntus,Negatif
sesuai deskripsi,Positif
tipe kulit minyak masalah kulit jerawat masalah kulit pori besar,Netral
agak kecewa sama emas kardus peyok dalem enggak ada bubble wrap biasa ada bubble wrap nya untung paket aman,Negatif
