,Review,Sentimen,Review_norm,review_tokens,review_tokens_stemmed
0,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari nggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar ikutin prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,Negatif,kecewa banget saya pesan yang free pouch tapi dikirimnya cotton pad kaget pas unboxing untung di videokan segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya setelah hari enggak ada kabar akhirnya saya tanya lagi dan hanya dikabari kalau stock pouch ternyata sudah habis padahal baik baik dan sabar mengikuti prosedur dari customer service karena masih berpikiran positif ternyata begini caranya ya,"['kecewa', 'banget', 'saya', 'pesan', 'yang', 'free', 'pouch', 'tapi', 'dikirimnya', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'di', 'videokan', 'segera', 'kabarin', 'customer', 'servicenya', 'dan', 'disuruh', 'isi', 'googleform', 'untuk', 'dikirimkan', 'ulang', 'pouchnya', 'setelah', 'hari', 'enggak', 'ada', 'kabar', 'akhirnya', 'saya', 'tanya', 'lagi', 'dan', 'hanya', 'dikabari', 'kalau', 'stock', 'pouch', 'ternyata', 'sudah', 'habis', 'padahal', 'baik', 'baik', 'dan', 'sabar', 'mengikuti', 'prosedur', 'dari', 'customer', 'service', 'karena', 'masih', 'berpikiran', 'positif', 'ternyata', 'begini', 'caranya', 'ya']","['kecewa', 'banget', 'saya', 'pesan', 'yang', 'free', 'pouch', 'tapi', 'kirim', 'cotton', 'pad', 'kaget', 'pas', 'unboxing', 'untung', 'di', 'video', 'segera', 'kabarin', 'customer', 'servicenya', 'dan', 'suruh', 'isi', 'googleform', 'untuk', 'kirim', 'ulang', 'pouchnya', 'telah', 'hari', 'enggak', 'ada', 'kabar', 'akhir', 'saya', 'tanya', 'lagi', 'dan', 'hanya', 'kabar', 'kalau', 'stock', 'pouch', 'nyata', 'sudah', 'habis', 'padahal', 'baik', 'baik', 'dan', 'sabar', 'ikut', 'prosedur', 'dari', 'customer', 'service', 'karena', 'masih', 'pikir', 'positif', 'nyata', 'begini', 'cara', 'ya']"
1,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin saya kira dus basah karna hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,Negatif,kali ini pengemasan tidak safe sepertinya tutup botol tidak kencang sehingga toner merembes keluar sampai dus basah saya memang tidak membuat video unboxing karena saya selalu mendapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas dibuka ternyata botol sudah kosong semoga mendapat tanggapan dari avoskin,"['kali', 'ini', 'pengemasan', 'tidak', 'safe', 'sepertinya', 'tutup', 'botol', 'tidak', 'kencang', 'sehingga', 'toner', 'merembes', 'keluar', 'sampai', 'dus', 'basah', 'saya', 'memang', 'tidak', 'membuat', 'video', 'unboxing', 'karena', 'saya', 'selalu', 'mendapat', 'produk', 'dan', 'packaging', 'yang', 'bagus', 'dari', 'avoskin', 'saya', 'kira', 'dus', 'basah', 'karena', 'hujan', 'pas', 'dibuka', 'ternyata', 'botol', 'sudah', 'kosong', 'semoga', 'mendapat', 'tanggapan', 'dari', 'avoskin']","['kali', 'ini', 'emas', 'tidak', 'safe', 'seperti', 'tutup', 'botol', 'tidak', 'kencang', 'sehingga', 'toner', 'rembes', 'keluar', 'sampai', 'dus', 'basah', 'saya', 'memang', 'tidak', 'buat', 'video', 'unboxing', 'karena', 'saya', 'selalu', 'dapat', 'produk', 'dan', 'packaging', 'yang', 'bagus', 'dari', 'avoskin', 'saya', 'kira', 'dus', 'basah', 'karena', 'hujan', 'pas', 'buka', 'nyata', 'botol', 'sudah', 'kosong', 'moga', 'dapat', 'tanggap', 'dari', 'avoskin']"
2,paket datangnya barang sudah pecah dan sy return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai sy terima barang dan uangnya dilepas ke seller sy kecewa sekali dan jd agak trauma untuk beli barang ksini chat seller untuk nanyain brg ud diterima tp dijawab formalitas saja baru kali ini sy belanja brg tidak diterima tp uang tidak kembali mungkin uangnya ga seberapa cuman krn responsnya yg mengecewakan mohon improvement untuk selanjutnya thx,Negatif,paket datangnya barang sudah pecah dan saya return ke seller sudah ikuti komplain proses dan lain sebagainya tapi malah akhirnya tiba seakan akan pesanan selesai saya terima barang dan uangnya dilepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah diterima tapi dijawab formalitas saja baru kali ini saya belanja barang tidak diterima tapi uang tidak kembali mungkin uangnya enggak seberapa cuman karena responsnya yang mengecewakan mohon improvement untuk selanjutnya thanks,"['paket', 'datangnya', 'barang', 'sudah', 'pecah', 'dan', 'saya', 'return', 'ke', 'seller', 'sudah', 'ikuti', 'komplain', 'proses', 'dan', 'lain', 'sebagainya', 'tapi', 'malah', 'akhirnya', 'tiba', 'seakan', 'akan', 'pesanan', 'selesai', 'saya', 'terima', 'barang', 'dan', 'uangnya', 'dilepas', 'ke', 'seller', 'saya', 'kecewa', 'sekali', 'dan', 'jadi', 'agak', 'trauma', 'untuk', 'beli', 'barang', 'kesini', 'chat', 'seller', 'untuk', 'nanyain', 'barang', 'sudah', 'diterima', 'tapi', 'dijawab', 'formalitas', 'saja', 'baru', 'kali', 'ini', 'saya', 'belanja', 'barang', 'tidak', 'diterima', 'tapi', 'uang', 'tidak', 'kembali', 'mungkin', 'uangnya', 'enggak', 'seberapa', 'cuman', 'karena', 'responsnya', 'yang', 'mengecewakan', 'mohon', 'improvement', 'untuk', 'selanjutnya', 'thanks']","['paket', 'datang', 'barang', 'sudah', 'pecah', 'dan', 'saya', 'return', 'ke', 'seller', 'sudah', 'ikut', 'komplain', 'proses', 'dan', 'lain', 'bagai', 'tapi', 'malah', 'akhir', 'tiba', 'akan', 'akan', 'pesan', 'selesai', 'saya', 'terima', 'barang', 'dan', 'uang', 'lepas', 'ke', 'seller', 'saya', 'kecewa', 'sekali', 'dan', 'jadi', 'agak', 'trauma', 'untuk', 'beli', 'barang', 'kesini', 'chat', 'seller', 'untuk', 'nanyain', 'barang', 'sudah', 'terima', 'tapi', 'jawab', 'formalitas', 'saja', 'baru', 'kali', 'ini', 'saya', 'belanja', 'barang', 'tidak', 'terima', 'tapi', 'uang', 'tidak', 'kembali', 'mungkin', 'uang', 'enggak', 'berapa', 'cuman', 'karena', 'respons', 'yang', 'kecewa', 'mohon', 'improvement', 'untuk', 'lanjut', 'thanks']"
3,ga ada sabun nya ga sesuai deskripsi,Negatif,enggak ada sabun nya enggak sesuai deskripsi,"['enggak', 'ada', 'sabun', 'nya', 'enggak', 'sesuai', 'deskripsi']","['enggak', 'ada', 'sabun', 'nya', 'enggak', 'sesuai', 'deskripsi']"
4,ga sesuai harapan,Negatif,enggak sesuai harapan,"['enggak', 'sesuai', 'harapan']","['enggak', 'sesuai', 'harap']"
5,bagus bgt buat kulit oily menghikangkan bruntusan dan mengecilkan pori,Positif,bagus banget buat kulit oily menghilangkan bruntusan dan mengecilkan pori,"['bagus', 'banget', 'buat', 'kulit', 'oily', 'menghilangkan', 'bruntusan', 'dan', 'mengecilkan', 'pori']","['bagus', 'banget', 'buat', 'kulit', 'oily', 'hilang', 'bruntusan', 'dan', 'kecil', 'pori']"
6,gak perlu diragukan lagi sih ini produk worth to buy pengiriman cepat packagingnya yg super aman thx seller,Positif,enggak perlu diragukan lagi sih ini produk worth tapi buy pengiriman cepat packagingnya yang super aman thanks seller,"['enggak', 'perlu', 'diragukan', 'lagi', 'sih', 'ini', 'produk', 'worth', 'tapi', 'buy', 'pengiriman', 'cepat', 'packagingnya', 'yang', 'super', 'aman', 'thanks', 'seller']","['enggak', 'perlu', 'ragu', 'lagi', 'sih', 'ini', 'produk', 'worth', 'tapi', 'buy', 'kirim', 'cepat', 'packagingnya', 'yang', 'super', 'aman', 'thanks', 'seller']"
7,barang diterima dg baik dan expired la,Positif,barang diterima dengan baik dan expired lah,"['barang', 'diterima', 'dengan', 'baik', 'dan', 'expired', 'lah']","['barang', 'terima', 'dengan', 'baik', 'dan', 'expired', 'lah']"
8,bru nyoba,Netral,baru mencoba,"['baru', 'mencoba']","['baru', 'coba']"
9,mudah mudahan cocok karena reviewnya bagus,Netral,mudah mudahan cocok karena reviewnya bagus,"['mudah', 'mudahan', 'cocok', 'karena', 'reviewnya', 'bagus']","['mudah', 'mudah', 'cocok', 'karena', 'reviewnya', 'bagus']"
10,mantap,Positif,mantap,['mantap'],['mantap']
11,bismillah smga cocok,Positif,bismillah semoga cocok,"['bismillah', 'semoga', 'cocok']","['bismillah', 'moga', 'cocok']"
12,kecewa banget pokoknya,Negatif,kecewa banget pokoknya,"['kecewa', 'banget', 'pokoknya']","['kecewa', 'banget', 'pokok']"
13,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti,Negatif,kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,"['kecewa', 'pengiriman', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'harus', 'bagaimana', 'lagi', 'enggak', 'mengerti']","['kecewa', 'kirim', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'harus', 'bagaimana', 'lagi', 'enggak', 'erti']"
14,ok smoga cocok,Positif,ok semoga cocok,"['ok', 'semoga', 'cocok']","['ok', 'moga', 'cocok']"
15,ok blom dcobain,Netral,ok belum dicoba,"['ok', 'belum', 'dicoba']","['ok', 'belum', 'coba']"
16,udah langganan karna cocok pakai serum ini thanks seller,Positif,sudah langganan karena cocok pakai serum ini thanks seller,"['sudah', 'langganan', 'karena', 'cocok', 'pakai', 'serum', 'ini', 'thanks', 'seller']","['sudah', 'langgan', 'karena', 'cocok', 'pakai', 'serum', 'ini', 'thanks', 'seller']"
17,serumnya bener bener cair banget ini pemakaian selama hari tapi belum berasa bangt efeknya,Netral,serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya,"['serumnya', 'benar', 'benar', 'cair', 'banget', 'ini', 'pemakaian', 'selama', 'hari', 'tapi', 'belum', 'berasa', 'banget', 'efeknya']","['serum', 'benar', 'benar', 'cair', 'banget', 'ini', 'pakai', 'lama', 'hari', 'tapi', 'belum', 'asa', 'banget', 'efek']"
