review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
kecewa banget saya pesan yang free pouch tapi kirim cotton pad kaget pas unboxing untung di video segera kabarin customer servicenya dan suruh isi googleform untuk kirim ulang pouchnya telah hari enggak ada kabar akhir saya tanya lagi dan hanya kabar kalau stock pouch nyata sudah habis padahal baik baik dan sabar ikut prosedur dari customer service karena masih pikir positif nyata begini cara ya,Negatif,"{'classified_text': 'kecewa [-4] banget saya pesan yang free pouch tapi kirim cotton pad kaget pas unboxing untung di video segera kabarin customer servicenya dan suruh isi googleform untuk kirim ulang pouchnya telah hari enggak ada kabar akhir saya tanya lagi dan hanya kabar kalau stock pouch nyata sudah habis padahal baik [4] baik [5] dan sabar [4] ikut prosedur dari customer service karena masih pikir positif [4] nyata begini cara ya', 'tweet_text': ' kecewa banget saya pesan yang free pouch tapi kirim cotton pad kaget pas unboxing untung di video segera kabarin customer servicenya dan suruh isi googleform untuk kirim ulang pouchnya telah hari enggak ada kabar akhir saya tanya lagi dan hanya kabar kalau stock pouch nyata sudah habis padahal baik baik dan sabar ikut prosedur dari customer service karena masih pikir positif nyata begini cara ya', 'sentence_score': ['kecewa [-4] banget saya pesan yang free pouch tapi kirim cotton pad kaget pas unboxing untung di video segera kabarin customer servicenya dan suruh isi googleform untuk kirim ulang pouchnya telah hari enggak ada kabar akhir saya tanya lagi dan hanya kabar kalau stock pouch nyata sudah habis padahal baik [4] baik [5] dan sabar [4] ikut prosedur dari customer service karena masih pikir positif [4] nyata begini cara ya'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",kecewa [-4] banget saya pesan yang free pouch tapi kirim cotton pad kaget pas unboxing untung di video segera kabarin customer servicenya dan suruh isi googleform untuk kirim ulang pouchnya telah hari enggak ada kabar akhir saya tanya lagi dan hanya kabar kalau stock pouch nyata sudah habis padahal baik [4] baik [5] dan sabar [4] ikut prosedur dari customer service karena masih pikir positif [4] nyata begini cara ya, kecewa banget saya pesan yang free pouch tapi kirim cotton pad kaget pas unboxing untung di video segera kabarin customer servicenya dan suruh isi googleform untuk kirim ulang pouchnya telah hari enggak ada kabar akhir saya tanya lagi dan hanya kabar kalau stock pouch nyata sudah habis padahal baik baik dan sabar ikut prosedur dari customer service karena masih pikir positif nyata begini cara ya,['kecewa [-4] banget saya pesan yang free pouch tapi kirim cotton pad kaget pas unboxing untung di video segera kabarin customer servicenya dan suruh isi googleform untuk kirim ulang pouchnya telah hari enggak ada kabar akhir saya tanya lagi dan hanya kabar kalau stock pouch nyata sudah habis padahal baik [4] baik [5] dan sabar [4] ikut prosedur dari customer service karena masih pikir positif [4] nyata begini cara ya'],5,-4,positif
kali ini emas tidak safe seperti tutup botol tidak kencang sehingga toner rembes keluar sampai dus basah saya memang tidak buat video unboxing karena saya selalu dapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas buka nyata botol sudah kosong moga dapat tanggap dari avoskin,Negatif,"{'classified_text': 'kali ini emas [4] tidak safe seperti [1] tutup botol tidak kencang sehingga toner rembes keluar [-3] sampai dus basah saya memang tidak buat video unboxing karena saya selalu dapat produk dan packaging yang bagus [4] dari avoskin saya kira dus basah karena hujan pas buka nyata botol sudah kosong moga dapat tanggap dari avoskin', 'tweet_text': ' kali ini emas tidak safe seperti tutup botol tidak kencang sehingga toner rembes keluar sampai dus basah saya memang tidak buat video unboxing karena saya selalu dapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas buka nyata botol sudah kosong moga dapat tanggap dari avoskin', 'sentence_score': ['kali ini emas [4] tidak safe seperti [1] tutup botol tidak kencang sehingga toner rembes keluar [-3] sampai dus basah saya memang tidak buat video unboxing karena saya selalu dapat produk dan packaging yang bagus [4] dari avoskin saya kira dus basah karena hujan pas buka nyata botol sudah kosong moga dapat tanggap dari avoskin'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",kali ini emas [4] tidak safe seperti [1] tutup botol tidak kencang sehingga toner rembes keluar [-3] sampai dus basah saya memang tidak buat video unboxing karena saya selalu dapat produk dan packaging yang bagus [4] dari avoskin saya kira dus basah karena hujan pas buka nyata botol sudah kosong moga dapat tanggap dari avoskin, kali ini emas tidak safe seperti tutup botol tidak kencang sehingga toner rembes keluar sampai dus basah saya memang tidak buat video unboxing karena saya selalu dapat produk dan packaging yang bagus dari avoskin saya kira dus basah karena hujan pas buka nyata botol sudah kosong moga dapat tanggap dari avoskin,['kali ini emas [4] tidak safe seperti [1] tutup botol tidak kencang sehingga toner rembes keluar [-3] sampai dus basah saya memang tidak buat video unboxing karena saya selalu dapat produk dan packaging yang bagus [4] dari avoskin saya kira dus basah karena hujan pas buka nyata botol sudah kosong moga dapat tanggap dari avoskin'],4,-3,positif
paket datang barang sudah pecah dan saya return ke seller sudah ikut komplain proses dan lain bagai tapi malah akhir tiba akan akan pesan selesai saya terima barang dan uang lepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah terima tapi jawab formalitas saja baru kali ini saya belanja barang tidak terima tapi uang tidak kembali mungkin uang enggak berapa cuman karena respons yang kecewa mohon improvement untuk lanjut thanks,Negatif,"{'classified_text': 'paket datang barang sudah pecah [-2] dan saya return ke seller sudah ikut komplain proses dan lain bagai tapi malah akhir tiba akan akan pesan selesai saya terima barang dan uang lepas ke seller saya kecewa [-4] sekali dan jadi agak trauma [-3] untuk beli barang kesini chat seller untuk nanyain barang sudah terima tapi jawab formalitas saja baru kali ini saya belanja barang tidak terima tapi uang tidak kembali mungkin uang enggak berapa cuman karena respons yang kecewa [-3] mohon [1] improvement untuk lanjut thanks', 'tweet_text': ' paket datang barang sudah pecah dan saya return ke seller sudah ikut komplain proses dan lain bagai tapi malah akhir tiba akan akan pesan selesai saya terima barang dan uang lepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah terima tapi jawab formalitas saja baru kali ini saya belanja barang tidak terima tapi uang tidak kembali mungkin uang enggak berapa cuman karena respons yang kecewa mohon improvement untuk lanjut thanks', 'sentence_score': ['paket datang barang sudah pecah [-2] dan saya return ke seller sudah ikut komplain proses dan lain bagai tapi malah akhir tiba akan akan pesan selesai saya terima barang dan uang lepas ke seller saya kecewa [-4] sekali dan jadi agak trauma [-3] untuk beli barang kesini chat seller untuk nanyain barang sudah terima tapi jawab formalitas saja baru kali ini saya belanja barang tidak terima tapi uang tidak kembali mungkin uang enggak berapa cuman karena respons yang kecewa [-3] mohon [1] improvement untuk lanjut thanks'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",paket datang barang sudah pecah [-2] dan saya return ke seller sudah ikut komplain proses dan lain bagai tapi malah akhir tiba akan akan pesan selesai saya terima barang dan uang lepas ke seller saya kecewa [-4] sekali dan jadi agak trauma [-3] untuk beli barang kesini chat seller untuk nanyain barang sudah terima tapi jawab formalitas saja baru kali ini saya belanja barang tidak terima tapi uang tidak kembali mungkin uang enggak berapa cuman karena respons yang kecewa [-3] mohon [1] improvement untuk lanjut thanks, paket datang barang sudah pecah dan saya return ke seller sudah ikut komplain proses dan lain bagai tapi malah akhir tiba akan akan pesan selesai saya terima barang dan uang lepas ke seller saya kecewa sekali dan jadi agak trauma untuk beli barang kesini chat seller untuk nanyain barang sudah terima tapi jawab formalitas saja baru kali ini saya belanja barang tidak terima tapi uang tidak kembali mungkin uang enggak berapa cuman karena respons yang kecewa mohon improvement untuk lanjut thanks,['paket datang barang sudah pecah [-2] dan saya return ke seller sudah ikut komplain proses dan lain bagai tapi malah akhir tiba akan akan pesan selesai saya terima barang dan uang lepas ke seller saya kecewa [-4] sekali dan jadi agak trauma [-3] untuk beli barang kesini chat seller untuk nanyain barang sudah terima tapi jawab formalitas saja baru kali ini saya belanja barang tidak terima tapi uang tidak kembali mungkin uang enggak berapa cuman karena respons yang kecewa [-3] mohon [1] improvement untuk lanjut thanks'],1,-4,negatif
enggak ada sabun nya enggak sesuai deskripsi,Negatif,"{'classified_text': 'enggak ada sabun nya enggak sesuai [-3] deskripsi', 'tweet_text': ' enggak ada sabun nya enggak sesuai deskripsi', 'sentence_score': ['enggak ada sabun nya enggak sesuai [-3] deskripsi'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",enggak ada sabun nya enggak sesuai [-3] deskripsi, enggak ada sabun nya enggak sesuai deskripsi,['enggak ada sabun nya enggak sesuai [-3] deskripsi'],1,-3,negatif
enggak sesuai harap,Negatif,"{'classified_text': 'enggak sesuai [-3] harap', 'tweet_text': ' enggak sesuai harap', 'sentence_score': ['enggak sesuai [-3] harap'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",enggak sesuai [-3] harap, enggak sesuai harap,['enggak sesuai [-3] harap'],1,-3,negatif
bagus banget buat kulit oily hilang bruntusan dan kecil pori,Positif,"{'classified_text': 'bagus [5] banget buat kulit oily hilang [-3] bruntusan dan kecil [-1] pori', 'tweet_text': ' bagus banget buat kulit oily hilang bruntusan dan kecil pori', 'sentence_score': ['bagus [5] banget buat kulit oily hilang [-3] bruntusan dan kecil [-1] pori'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",bagus [5] banget buat kulit oily hilang [-3] bruntusan dan kecil [-1] pori, bagus banget buat kulit oily hilang bruntusan dan kecil pori,['bagus [5] banget buat kulit oily hilang [-3] bruntusan dan kecil [-1] pori'],5,-3,positif
enggak perlu ragu lagi sih ini produk worth tapi buy kirim cepat packagingnya yang super aman thanks seller,Positif,"{'classified_text': 'enggak perlu ragu lagi sih ini produk worth tapi buy kirim cepat [4] packagingnya yang super [4] aman [5] thanks seller', 'tweet_text': ' enggak perlu ragu lagi sih ini produk worth tapi buy kirim cepat packagingnya yang super aman thanks seller', 'sentence_score': ['enggak perlu ragu lagi sih ini produk worth tapi buy kirim cepat [4] packagingnya yang super [4] aman [5] thanks seller'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",enggak perlu ragu lagi sih ini produk worth tapi buy kirim cepat [4] packagingnya yang super [4] aman [5] thanks seller, enggak perlu ragu lagi sih ini produk worth tapi buy kirim cepat packagingnya yang super aman thanks seller,['enggak perlu ragu lagi sih ini produk worth tapi buy kirim cepat [4] packagingnya yang super [4] aman [5] thanks seller'],5,-1,positif
barang terima dengan baik dan expired lah,Positif,"{'classified_text': 'barang terima dengan baik [4] dan expired lah', 'tweet_text': ' barang terima dengan baik dan expired lah', 'sentence_score': ['barang terima dengan baik [4] dan expired lah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang terima dengan baik [4] dan expired lah, barang terima dengan baik dan expired lah,['barang terima dengan baik [4] dan expired lah'],4,-1,positif
baru coba,Netral,"{'classified_text': 'baru coba', 'tweet_text': ' baru coba', 'sentence_score': ['baru coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",baru coba, baru coba,['baru coba'],1,-1,netral
mudah mudah cocok karena reviewnya bagus,Netral,"{'classified_text': 'mudah [3] mudah [4] cocok [4] karena reviewnya bagus [4]', 'tweet_text': ' mudah mudah cocok karena reviewnya bagus', 'sentence_score': ['mudah [3] mudah [4] cocok [4] karena reviewnya bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mudah [3] mudah [4] cocok [4] karena reviewnya bagus [4], mudah mudah cocok karena reviewnya bagus,['mudah [3] mudah [4] cocok [4] karena reviewnya bagus [4]'],4,-1,positif
