review_tokens_stemmed,Sentimen
kecewa banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik baik sabar ikut prosedur customer service pikir positif nyata begini cara,Negatif
kali emas tidak safe seperti tutup botol tidak kencang toner rembes keluar dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin,Negatif
paket datang barang pecah return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa mohon improvement lanjut thanks,Negatif
enggak sabun nya enggak sesuai deskripsi,Negatif
enggak sesuai harap,Negatif
bagus banget buat kulit oily hilang bruntusan kecil pori,Positif
enggak perlu ragu sih produk worth buy kirim cepat packagingnya super aman thanks seller,Positif
barang terima baik expired lah,Positif
baru coba,Netral
mudah mudah cocok reviewnya bagus,Netral
mantap,Positif
bismillah moga cocok,Positif
kecewa banget pokok,Negatif
kecewa kirim lama wajah jadi breakout enggak tau bagaimana enggak erti,Negatif
moga cocok,Positif
belum coba,Netral
langgan cocok pakai serum thanks seller,Positif
serum benar benar cair banget pakai lama hari belum asa banget efek,Netral
mantap pakai banget jalan kirim lama banget,Netral
belum coba ngabisin dulu next bakal review kalo hasil,Netral
cocok banget buat oily skin kayak aku,Positif
baru sekali pakai rasa halus muka,Positif
barang enggak pernah tanggal hilang salah anteraja jadi enggak tau review apa,Netral
beli serta skin care nya tapitidak pernah terima sheet mask complaint lama banget ujung ujung nya tidak tindak lanjut kecewa banget,Negatif
harus free sesuai jam order buru cekout biar enggak habis pesan datang cuma produk nya free nya enggak asli kecewa baru ngalamin begini,Negatif
melembabkan banget tekstur kental cepat banget nyerepnya,Netral
packaging nya jelek banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik,Negatif
tipu tidak gratis hadiah sarung gambar,Negatif
janji expired tahu dapetnya bulan,Negatif
pesan masker kirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar kecewa buat customer kalo baca please be more careful kalo pesan sini sibuk apa sempetin video unboxing,Negatif
bahan ringan moga cocok,Positif
tipe kulit minyak,Netral
ringan banget bibir lup lup dah buat azarine,Netral
no review found,Netral
kali paket white series datang cuman harus komplain enggak direspon sama sekali pantas dalam paket kertas cara aju komplain nyata memang enggak beres isi,Negatif
tidak barang nya,Negatif
bikin bruntusan geleuh muka jadi lihat rasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhir buat tangan area tubuh gelap deh,Negatif
serum enggak kirim,Negatif
baru pertama coba pakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,Positif
love banget terima kasih azarine tadi beli pc nyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku,Positif
