review_tokens_SR,Sentimen
kecewa banget pesan free pouch dikirimnya cotton pad kaget pas unboxing untung videokan segera kabarin customer servicenya disuruh isi googleform dikirimkan ulang pouchnya hari enggak kabar akhirnya tanya dikabari kalau stock pouch ternyata habis padahal baik baik sabar mengikuti prosedur customer service berpikiran positif ternyata begini caranya,Negatif
kali pengemasan safe sepertinya tutup botol kencang toner merembes keluar dus basah memang membuat video unboxing selalu mendapat produk packaging bagus avoskin kira dus basah hujan pas dibuka ternyata botol kosong semoga mendapat tanggapan avoskin,Negatif
paket datangnya barang pecah return seller ikuti komplain proses sebagainya malah akhirnya tiba seakan pesanan selesai terima barang uangnya dilepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang diterima dijawab formalitas baru kali belanja barang diterima uang mungkin uangnya enggak seberapa cuman responsnya mengecewakan mohon improvement selanjutnya thanks,Negatif
enggak sabun nya enggak sesuai deskripsi,Negatif
enggak sesuai harapan,Negatif
bagus banget buat kulit oily menghilangkan bruntusan mengecilkan pori,Positif
enggak perlu diragukan sih produk worth buy pengiriman cepat packagingnya super aman thanks seller,Positif
barang diterima baik expired lah,Positif
baru mencoba,Netral
mudah mudahan cocok reviewnya bagus,Netral
mantap,Positif
bismillah semoga cocok,Positif
kecewa banget pokoknya,Negatif
kecewa pengiriman lama wajah jadi breakout enggak tau bagaimana enggak mengerti,Negatif
semoga cocok,Positif
dicoba,Netral
langganan cocok pakai serum thanks seller,Positif
serumnya benar benar cair banget pemakaian selama hari berasa banget efeknya,Netral
mantap pakai banget perjalanan pengiriman lama banget,Netral
dicoba ngabisin dulu next bakal review kalo hasilnya,Netral
cocok banget buat oily skin kayak aku,Positif
baru sekali pakai kerasa halus dimuka,Positif
barangnya enggak pernah tanggal hilang kesalahan anteraja jadi enggak tau review apa,Netral
beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama banget ujung ujung nya ditindak lanjuti kecewa banget,Negatif
harusnya free sesuai jam ordernya buru cekout biar enggak habis pesanan datang cuma produk nya free nya enggak asli kecewa baru ngalamin beginian,Negatif
melembabkan banget teksturnya kental cepat banget nyerepnya,Netral
packaging nya jelek banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik,Negatif
tertipu gratis hadiah sarung gambar,Negatif
dijanjikan expired tahu dapetnya bulan,Negatif
pesan masker dikirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing,Negatif
bahan ringan semoga cocok,Positif
tipe kulitku berminyak,Netral
ringan banget dibibir lup lup dah buat azarine,Netral
no review found,Netral
kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya,Negatif
barang nya,Negatif
bikin bruntusan geleuh muka jadi kelihatan kerasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhirnya buat tangan area tubuh gelap deh,Negatif
serumnya enggak dikirim,Negatif
