review_tokens_stemmed,Sentimen,sentimen
kecewa banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik baik sabar ikut prosedur customer service pikir positif nyata begini cara,Negatif,"{'classified_text': 'kecewa [-4] banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik [4] baik [5] sabar [5] ikut prosedur customer service pikir positif [4] nyata begini cara', 'tweet_text': ' kecewa banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik baik sabar ikut prosedur customer service pikir positif nyata begini cara', 'sentence_score': ['kecewa [-4] banget pesan free pouch kirim cotton pad kaget pas unboxing untung video segera kabarin customer servicenya suruh isi googleform kirim ulang pouchnya hari enggak kabar akhir tanya kabar kalau stock pouch nyata habis padahal baik [4] baik [5] sabar [5] ikut prosedur customer service pikir positif [4] nyata begini cara'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
kali emas tidak safe seperti tutup botol tidak kencang toner rembes keluar dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin,Negatif,"{'classified_text': 'kali emas [5] tidak safe seperti [1] tutup botol tidak kencang toner rembes keluar [-3] dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus [4] avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin', 'tweet_text': ' kali emas tidak safe seperti tutup botol tidak kencang toner rembes keluar dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin', 'sentence_score': ['kali emas [5] tidak safe seperti [1] tutup botol tidak kencang toner rembes keluar [-3] dus basah memang tidak buat video unboxing selalu dapat produk packaging bagus [4] avoskin kira dus basah hujan pas buka nyata botol kosong moga dapat tanggap avoskin'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
paket datang barang pecah return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa mohon improvement lanjut thanks,Negatif,"{'classified_text': 'paket datang barang pecah [-2] return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa [-4] sekali jadi trauma [-4] beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa [-3] mohon [1] improvement lanjut thanks', 'tweet_text': ' paket datang barang pecah return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa sekali jadi trauma beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa mohon improvement lanjut thanks', 'sentence_score': ['paket datang barang pecah [-2] return seller ikut komplain proses bagai malah akhir tiba akan pesan selesai terima barang uang lepas seller kecewa [-4] sekali jadi trauma [-4] beli barang kesini chat seller nanyain barang terima jawab formalitas baru kali belanja barang tidak terima uang tidak mungkin uang enggak berapa cuman respons kecewa [-3] mohon [1] improvement lanjut thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
enggak sabun nya enggak sesuai deskripsi,Negatif,"{'classified_text': 'enggak sabun nya enggak sesuai [-3] deskripsi', 'tweet_text': ' enggak sabun nya enggak sesuai deskripsi', 'sentence_score': ['enggak sabun nya enggak sesuai [-3] deskripsi'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
enggak sesuai harap,Negatif,"{'classified_text': 'enggak sesuai [-3] harap', 'tweet_text': ' enggak sesuai harap', 'sentence_score': ['enggak sesuai [-3] harap'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
bagus banget buat kulit oily hilang bruntusan kecil pori,Positif,"{'classified_text': 'bagus [5] banget buat kulit oily hilang [-3] bruntusan kecil [-1] pori', 'tweet_text': ' bagus banget buat kulit oily hilang bruntusan kecil pori', 'sentence_score': ['bagus [5] banget buat kulit oily hilang [-3] bruntusan kecil [-1] pori'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
enggak perlu ragu sih produk worth buy kirim cepat packagingnya super aman thanks seller,Positif,"{'classified_text': 'enggak perlu ragu sih produk worth buy kirim cepat [4] packagingnya super [4] aman [5] thanks seller', 'tweet_text': ' enggak perlu ragu sih produk worth buy kirim cepat packagingnya super aman thanks seller', 'sentence_score': ['enggak perlu ragu sih produk worth buy kirim cepat [4] packagingnya super [4] aman [5] thanks seller'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
barang terima baik expired lah,Positif,"{'classified_text': 'barang terima baik [4] expired lah', 'tweet_text': ' barang terima baik expired lah', 'sentence_score': ['barang terima baik [4] expired lah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru coba,Netral,"{'classified_text': 'baru coba', 'tweet_text': ' baru coba', 'sentence_score': ['baru coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
mudah mudah cocok reviewnya bagus,Netral,"{'classified_text': 'mudah [3] mudah [4] cocok [4] reviewnya bagus [4]', 'tweet_text': ' mudah mudah cocok reviewnya bagus', 'sentence_score': ['mudah [3] mudah [4] cocok [4] reviewnya bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
mantap,Positif,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bismillah moga cocok,Positif,"{'classified_text': 'bismillah moga cocok [3]', 'tweet_text': ' bismillah moga cocok', 'sentence_score': ['bismillah moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
kecewa banget pokok,Negatif,"{'classified_text': 'kecewa [-4] banget pokok', 'tweet_text': ' kecewa banget pokok', 'sentence_score': ['kecewa [-4] banget pokok'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
kecewaaaaa kirim lama wajah jadi breakout enggak tau bagaimana enggak erti,Negatif,"{'classified_text': 'kecewa [-4] kirim lama [-2] wajah jadi breakout enggak tau bagaimana enggak erti', 'tweet_text': ' kecewa kirim lama wajah jadi breakout enggak tau bagaimana enggak erti', 'sentence_score': ['kecewa [-4] kirim lama [-2] wajah jadi breakout enggak tau bagaimana enggak erti'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
moga cocok,Positif,"{'classified_text': 'moga cocok [3]', 'tweet_text': ' moga cocok', 'sentence_score': ['moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
belum coba,Netral,"{'classified_text': 'belum coba', 'tweet_text': ' belum coba', 'sentence_score': ['belum coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
langgan cocok pakai serum thanks seller,Positif,"{'classified_text': 'langgan cocok [3] pakai serum thanks seller', 'tweet_text': ' langgan cocok pakai serum thanks seller', 'sentence_score': ['langgan cocok [3] pakai serum thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
serum benar benar cair banget pakai lama hari belum asa banget efek,Netral,"{'classified_text': 'serum benar [4] benar [5] cair banget pakai lama [-2] hari belum asa banget efek', 'tweet_text': ' serum benar benar cair banget pakai lama hari belum asa banget efek', 'sentence_score': ['serum benar [4] benar [5] cair banget pakai lama [-2] hari belum asa banget efek'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
mantap pakai banget jalan kirim lama banget,Netral,"{'classified_text': 'mantap [4] pakai banget jalan kirim lama [-3] banget', 'tweet_text': ' mantap pakai banget jalan kirim lama banget', 'sentence_score': ['mantap [4] pakai banget jalan kirim lama [-3] banget'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
belum coba ngabisin dulu next bakal review kalo hasil,Netral,"{'classified_text': 'belum coba ngabisin dulu next bakal review kalo hasil', 'tweet_text': ' belum coba ngabisin dulu next bakal review kalo hasil', 'sentence_score': ['belum coba ngabisin dulu next bakal review kalo hasil'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
