No,Data Ulasan,Sentimen
1,it  beautiful package bintang buat safety nya,Positif
2,tipe kulitku kering,Netral
3,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,Negatif
4,top,Positif
5,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif
6,exp,Positif
7,no review found,Positif
8,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,Netral
9,tipe kulitku berminyak,Netral
10,tipe kulitku berminyak masalah kulitku pori besar,Netral
11,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif
12,barang sesuai pesanan,Positif
13,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan,Positif
14,moga cocok soalnya dulu cocok bgt pake ini,Positif
15,pengiriman cepat mantabbb,Netral
16,alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,Negatif
17,bahannya gampang menyerap,Netral
18,bagussss,Netral
19,baguusssssss,Netral
20,okelahhhhhhhh,Negatif
21,dapat gratis mini pouch makasih semoga cocok,Netral
22,alhamdulillah barangnya udah sampai semoga ccok dan selau dpt harga diskon yess,Negatif
23,cocok sama produknya,Positif
24,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif
25,barang nya oke,Positif
26,repeat order,Netral
27,masalah kulitku pori besar,Negatif
28,ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,Negatif
29,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,Netral
30,kecepatan pengiriman baik ada bubble warp,Netral
31,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral
32,dpt harga ceban yay blm dicoba,Netral
33,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,Netral
34,ternyata dapet ya baru pertama kali semoga cocok,Netral
35,mudahan cocok terima kasih,Positif
36,udh sering beli ini dan selalu cocok,Netral
37,barang datang dengan selamat walau agak lama datangnya,Netral
38,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,Positif
39,terima kasih,Netral
40,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,Netral
41,tipe kulitku kombinasi masalah kulitku jerawat,Netral
42,tipe kulitku kombinasi,Netral
43,tipe kulitku berminyak masalah kulitku pori besar original terimakasih,Netral
44,bahannya ringan cocok digunakan,Positif
45,tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,Netral
46,barang datang sesuai packing nya aman serta pengiriman cepat,Netral
47,berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,Netral
48,udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi,Netral
49,warnanya cantik bangettt,Netral
50,cocok di tipe kulitku kombinasi,Netral
51,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana,Netral
52,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya,Netral
53,cocok di kulit berminyak kemasannya lucu,Netral
54,bahannya ringan cepet meresap terus packaging nya ok banget,Netral
55,terima kasih banyak paket sudah sampai dengan selamat,Netral
56,barang bagus sesuai packing mantap terima kasih,Netral
57,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Netral
58,produk sangat bangus langsung menyerap dan membuat lembab,Netral
59,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Netral
60,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif
